OBS_NUM;CPMN;CPRON;CMUNN;FNAC;NOMB;NOMBFREQ;APE1;APE1FREQ;APE2;APE2FREQ;IDEN;NDOCU;NIE;SEXO
14;35016;35;016;19980120;FRANCISCO;0.0085162626;PEREZ;0.0247483663;HERNANDEZ;0.0285822558;00000000;00000000000000000000;00000000000;1
15;35011;35;011;20080311;FRANCISCO;0.0085162626;HEREDIA;0.0005268363;MOLINA;0.0022441378;00000000;00000000000000000000;00000000000;1
16;35016;35;016;20011106;FRANCISCO;0.0085162626;CARMONA;0.0006377492;HEREDIA;0.0004048321;00000000;00000000000000000000;00000000000;1
17;35016;35;016;20100903;JUAN;0.0072925235;CURQUEJO;0.0000536079;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;1
18;35009;35;009;19710303;FRANCISCO;0.0085162626;DENIZ;0.0031277439;QUINTANA;0.0062961559;00000000;00000000000000000000;00000000000;1
19;35016;35;016;20110414;SANTIAGO;0.0029780115;CABRERA;0.0130803287;CABADO;5.5456453E-6;00000000;00000000000000000000;00000000000;1
20;35032;35;032;20051105;FRANCISCO;0.0085162626;HERNANDEZ;0.0277319235;DIAZ;0.0146238666;00000000;00000000000000000000;00000000000;1
21;35016;35;016;20070326;FRANCISCO;0.0085162626;CABRERA;0.0130803287;DIAZ;0.0146238666;00000000;00000000000000000000;00000000000;1
22;35016;35;016;20080313;FRANCISCO;0.0085162626;LEON;0.0050945995;QUINTANA;0.0062961559;00000000;00000000000000000000;00000000000;1
23;35011;35;011;19950616;FRANCISCO;0.0085162626;CARMONA;0.0006377492;SANTIAGO;0.001850397;00000000;00000000000000000000;00000000000;1
24;35004;35;004;19980730;SANTIAGO;0.0029780115;NIEVES;0.000478774;GARCIA;0.0273437283;00000000;00000000000000000000;00000000000;1
25;35016;35;016;20101121;JUAN;0.0072925235;ALEMAN;0.0047378296;NARANJO;0.0021831357;00000000;00000000000000000000;00000000000;1
26;35016;35;016;20050428;SANTIAGO;0.0029780115;SIMON;0.0001737636;LIMA;0.0002218258;00000000;00000000000000000000;00000000000;1
27;35019;35;019;19860118;FRANCISCO;0.0085162626;SANCHEZ;0.0159917924;MARRERO;0.0083498932;00000000;00000000000000000000;00000000000;1
28;35009;35;009;20070926;SANTIAGO;0.0029780115;VEGA;0.0071631252;TACORONTE;0.0009704879;00000000;00000000000000000000;00000000000;1
29;35009;35;009;19781220;RITA;0.0007782389;PEREZ;0.0247483663;PEREZ;0.0250552254;00000000;00000000000000000000;35046903352;6
30;35026;35;026;19970221;FRANCISCO;0.0085162626;HEREDIA;0.0005268363;MORENO;0.0060817243;00000000;00000000000000000000;00000000000;1
31;35016;35;016;19570725;SANTIAGO;0.0029780115;RODRIGUEZ;0.03845905;SILVA;0.0014270794;00000000;00000000000000000000;35066136658;1
32;35012;35;012;19630601;FRANCISCO;0.0085162626;CRUZ;0.0050058691;SANCHEZ;0.0157884521;00000000;00000000000000000000;35005097040;1
33;35004;35;004;20040305;RITA;0.0007782389;AFONSO;0.0021387705;ROSA;0.0005656558;00000000;00000000000000000000;00000000000;6
34;35004;35;004;19960104;FRANCISCO;0.0085162626;REYES;0.0041000804;SANCHEZ;0.0157884521;00000000;00000000000000000000;00000000000;1
35;35016;35;016;20091024;JUAN;0.0072925235;SANTANA;0.0321684397;LORENZO;0.0033107502;00000000;00000000000000000000;00000000000;1
36;35016;35;016;20030704;FRANCISCO;0.0085162626;MEDINA;0.0116587949;MARTIN;0.0149843336;00000000;00000000000000000000;00000000000;1
37;35004;35;004;20071211;FRANCISCO;0.0085162626;PINTO;0.0002033403;MORLEY;5.5456453E-6;00000000;00000000000000000000;00000000000;1
38;35004;35;004;19961101;FRANCISCO;0.0085162626;PEREZ;0.0247483663;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
39;35016;35;016;20010417;SANTIAGO;0.0029780115;ROSARIO;0.0022293494;GARCIA;0.0273437283;00000000;00000000000000000000;00000000000;1
40;35016;35;016;19710806;JUAN;0.0072925235;ROSALES;0.0013457433;VEGA;0.0074200734;00000000;00000000000000000000;35051398294;1
41;35016;35;016;20030207;RITA;0.0007782389;GIL;0.003856072;BARRIOS;0.0008891518;00000000;00000000000000000000;00000000000;6
42;35004;35;004;20020529;FRANCISCO;0.0085162626;FORTES;0.0000332739;GRAFFIÑA;0.0000295768;00000000;00000000000000000000;00000000000;1
43;35004;35;004;20101120;SANTIAGO;0.0029780115;PIEDRAHITA;0.0000406681;TABARES;0.0002735852;00000000;00000000000000000000;00000000000;1
44;35016;35;016;20071004;FRANCISCO;0.0085162626;CEDRES;0.00103149;GARCIA;0.0273437283;00000000;00000000000000000000;00000000000;1
45;35009;35;009;20101217;FRANCISCO;0.0085162626;RIAÑO;0.0000166369;OJEDA;0.0042054477;00000000;00000000000000000000;00000000000;1
46;35016;35;016;20090611;FRANCISCO;0.0085162626;QUEVEDO;0.0016100857;ARRANZ;0.0000757905;00000000;00000000000000000000;00000000000;1
47;35009;35;009;20061029;SANTIAGO;0.0029780115;QUESADA;0.0018596397;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
48;35016;35;016;20040412;RITA;0.0007782389;ARTILES;0.0034161175;GUERRA;0.0055179171;00000000;00000000000000000000;00000000000;6
49;35005;35;005;20040710;SANTIAGO;0.0029780115;PEÑA;0.0029502833;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;1
50;35016;35;016;20060429;SANTIAGO;0.0029780115;BAEZ;0.0009593966;BORREGO;0.0001016702;00000000;00000000000000000000;00000000000;1
51;66115;66;115;20040708;RITA;0.0007782389;PURGATORIO;5.5456453E-6;-;0.1128612757;00000000;00000000000000000000;00000000000;6
52;35016;35;016;19970722;FRANCISCO;0.0085162626;NODA;0.0005009566;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
53;35006;35;006;20010628;FRANCISCO;0.0085162626;FALCON;0.0047618607;GIL;0.0038209496;00000000;00000000000000000000;00000000000;1
54;35004;35;004;20030821;FRANCISCO;0.0085162626;FERNANDEZ;0.0062702763;PAZ;0.0004639857;00000000;00000000000000000000;00000000000;1
55;35016;35;016;20090115;FRANCISCO;0.0085162626;CABRERA;0.0130803287;MARTIN;0.0149843336;00000000;00000000000000000000;00000000000;1
56;35016;35;016;20060323;FRANCISCO;0.0085162626;NAVARRO;0.0048431969;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
57;35004;35;004;20020718;SANTIAGO;0.0029780115;PERERA;0.0014548076;ESCOBAR;0.0002550997;00000000;00000000000000000000;00000000000;1
58;35016;35;016;20071029;FRANCISCO;0.0085162626;RODRIGUEZ;0.03845905;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
59;35009;35;009;20050529;SANTIAGO;0.0029780115;MEDINA;0.0116587949;BARRETO;0.0007745418;00000000;00000000000000000000;00000000000;1
60;35004;35;004;20060906;SANTIAGO;0.0029780115;FERNANDEZ;0.0062702763;DIAZ;0.0146238666;00000000;00000000000000000000;00000000000;1
61;35014;35;014;20040603;FRANCISCO;0.0085162626;HIERRO;0.0002791308;REBOSO;0.0000388195;00000000;00000000000000000000;00000000000;1
62;7042;" 7";042;20051205;SANTIAGO;0.0029780115;GUZMAN;0.0005194421;VERDEROSSA;1.8485484E-6;00000000;00000000000000000000;00000000000;1
63;35009;35;009;19530911;RITA;0.0007782389;BERMUDEZ;0.0008226041;RIVERO;0.0045104582;00000000;00000000000000000000;35031140088;6
64;35015;35;015;19910723;FRANCISCO;0.0085162626;GALLEGO;0.0005120479;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
65;35016;35;016;20091224;FRANCISCO;0.0085162626;ARAÑA;0.000495411;SARMIENTO;0.001391957;00000000;00000000000000000000;00000000000;1
66;35013;35;013;19510508;FRANCISCO;0.0085162626;GONZALEZ;0.0312792879;GARCIA;0.0273437283;00000000;00000000000000000000;00000000000;1
67;35016;35;016;20100725;SANTIAGO;0.0029780115;ESPEJO;0.0000554565;NAVARRO;0.0048783193;00000000;00000000000000000000;00000000000;1
68;35013;35;013;20100802;SANTIAGO;0.0029780115;LOPEZ;0.0115349422;FERNANDEZ;0.0056214358;00000000;00000000000000000000;00000000000;1
69;30027;30;027;20110531;SANTIAGO;0.0029780115;BOTI;3.6970969E-6;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
70;35004;35;004;19980227;SANTIAGO;0.0029780115;GONZALEZ;0.0312792879;SOTO;0.0009002431;00000000;00000000000000000000;00000000000;1
71;35011;35;011;20080903;FRANCISCO;0.0085162626;ARTILES;0.0034161175;SANCHEZ;0.0157884521;00000000;00000000000000000000;00000000000;1
72;35004;35;004;19960131;FRANCISCO;0.0085162626;BETANCORT;0.0018356086;MARTIN;0.0149843336;00000000;00000000000000000000;00000000000;1
73;35011;35;011;20050903;RITA;0.0007782389;ZAMORA;0.0003549213;PEREZ;0.0250552254;00000000;00000000000000000000;00000000000;6
74;35016;35;016;20090320;RUBEN;0.0014640504;CASTELLANO;0.0034678768;BATISTA;0.0021332249;00000000;00000000000000000000;00000000000;1
75;35011;35;011;20000606;JOSE ANTONIO;0.0047803462;ARTILES;0.0034161175;JIMENEZ;0.0080763081;00000000;00000000000000000000;00000000000;1
76;35016;35;016;20021213;JUANA;0.0035713956;ALVARADO;0.0006174152;GALINDO;0.0003826495;00000000;00000000000000000000;00000000000;6
77;35016;35;016;19980820;JUAN;0.0072925235;CARMONA;0.0006377492;BERMUDEZ;0.000953851;00000000;00000000000000000000;00000000000;1
78;35016;35;016;19991005;RUBEN;0.0014640504;SAKY;0.0000110913;ARTILES;0.003647186;00000000;00000000000000000000;00000000000;1
79;35016;35;016;20000705;RUBEN;0.0014640504;HERNANDEZ;0.0277319235;GOMEZ;0.0033015075;00000000;00000000000000000000;00000000000;1
80;35016;35;016;20030322;JUAN;0.0072925235;TEJERA;0.001678482;ROBAINA;0.0013235607;00000000;00000000000000000000;00000000000;1
81;35004;35;004;20060220;JOSE ANTONIO;0.0047803462;GROSSO;0.0000240311;RELINQUE;5.5456453E-6;00000000;00000000000000000000;00000000000;1
82;35004;35;004;20011210;CARLOS JAVIER;0.0006747202;TORRES;0.0042442672;GARCIA;0.0273437283;00000000;00000000000000000000;00000000000;1
83;35004;35;004;20100317;JUAN;0.0072925235;RIO;0.0003179503;ROVER;1.8485484E-6;00000000;00000000000000000000;00000000000;1
84;35016;35;016;19981018;MARIA DEL PINO;0.0025399055;MARTIN;0.0150823066;RUANO;0.000974185;00000000;00000000000000000000;00000000000;6
85;35016;35;016;20070215;RUBEN;0.0014640504;GONZALEZ;0.0312792879;CAMPANARIO;5.5456453E-6;00000000;00000000000000000000;00000000000;1
86;35016;35;016;20110605;MARIA DEL PINO;0.0025399055;ACOSTA;0.0030574991;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;6
87;35016;35;016;20100408;RUBEN;0.0014640504;SUAREZ;0.0173005647;LORENZO;0.0033107502;00000000;00000000000000000000;00000000000;1
88;35011;35;011;20040622;JUAN ANTONIO;0.0021923784;GONZALEZ;0.0312792879;PEREZ;0.0250552254;00000000;00000000000000000000;00000000000;1
89;35016;35;016;20060703;RUBEN;0.0014640504;GARCIA;0.0279389609;DIAZ;0.0146238666;00000000;00000000000000000000;00000000000;1
90;35009;35;009;20040222;RUBEN;0.0014640504;GARCIA;0.0279389609;ROQUE;0.0006137181;00000000;00000000000000000000;00000000000;1
91;35009;35;009;20071102;JUAN;0.0072925235;LOPEZ;0.0115349422;QUINTANA;0.0062961559;00000000;00000000000000000000;00000000000;1
92;35004;35;004;20120228;RUBEN;0.0014640504;NIEVES;0.000478774;TAVIO;0.000724631;00000000;00000000000000000000;00000000000;1
93;35001;35;001;20120124;ERIC SEBASTIAN;1.8485484E-6;ALAMO;0.0024252955;CASTRO;0.0026452728;00000000;00000000000000000000;00000000000;1
94;35016;35;016;20110529;JOSE ANTONIO;0.0047803462;ARMAS;0.0038856488;SAN MARTIN;0.0000388195;00000000;00000000000000000000;00000000000;1
95;35013;35;013;20010930;JUAN ANTONIO;0.0021923784;MENDOZA;0.0041703253;MATEO;0.0008577265;00000000;00000000000000000000;00000000000;1
96;11012;11;012;20080916;RUBEN;0.0014640504;BETANCORT;0.0018356086;CASTAÑO;0.0002125831;00000000;00000000000000000000;00000000000;1
97;35013;35;013;20050516;JOSE ANTONIO;0.0047803462;FELIPE;0.0005970811;HERNANDEZ;0.0285822558;00000000;00000000000000000000;00000000000;1
98;35004;35;004;20070910;JUAN;0.0072925235;PEÑA;0.0029502833;DELGADO;0.0035362731;00000000;00000000000000000000;00000000000;1
99;35011;35;011;20000108;RUBEN;0.0014640504;GONZALEZ;0.0312792879;HERNANDEZ;0.0285822558;00000000;00000000000000000000;00000000000;1
100;35002;35;002;20080110;MARIA DEL PINO;0.0025399055;SUAREZ;0.0173005647;TARAJANO;0.0002014918;00000000;00000000000000000000;00000000000;6
101;35006;35;006;20100122;RUBEN;0.0014640504;SUAREZ;0.0173005647;MARRERO;0.0083498932;00000000;00000000000000000000;00000000000;1
102;35009;35;009;19791120;JUAN ANTONIO;0.0021923784;CANDELARIA;0.0000924274;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;35049826946;1
103;35012;35;012;20110514;RUBEN;0.0014640504;DENIZ;0.0031277439;MARTIN;0.0149843336;00000000;00000000000000000000;00000000000;1
104;35006;35;006;20090107;RUBEN;0.0014640504;RODRIGUEZ;0.03845905;ARTILES;0.003647186;00000000;00000000000000000000;00000000000;1
105;35009;35;009;20030206;CARLOS JAVIER;0.0006747202;DIAZ;0.0140951818;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
106;35030;35;030;20070211;RUBEN;0.0014640504;GALDON;1.8485484E-6;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
107;35011;35;011;20100526;RUBEN;0.0014640504;GARCIA;0.0279389609;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;1
108;35011;35;011;20100804;JUAN ANTONIO;0.0021923784;CRUZ;0.0050058691;TEJERA;0.0019150962;00000000;00000000000000000000;00000000000;1
109;35016;35;016;19901029;RUBEN;0.0014640504;SUAREZ;0.0173005647;PERDOMO;0.0041684767;00000000;00000000000000000000;00000000000;1
110;33037;33;037;20100202;JUAN;0.0072925235;PRIETO;0.0003253445;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
111;35009;35;009;19990501;RUBEN;0.0014640504;CASTELLANO;0.0034678768;RAMIREZ;0.0092353479;00000000;00000000000000000000;00000000000;1
112;35016;35;016;20050202;JUAN;0.0072925235;ARMAS;0.0038856488;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
113;35016;35;016;20050720;RUBEN;0.0014640504;JIMENEZ;0.0081391587;RUIZ;0.0036952483;00000000;00000000000000000000;00000000000;1
114;35016;35;016;20010605;RUBEN;0.0014640504;HERNANDEZ;0.0277319235;JORGE;0.0015416894;00000000;00000000000000000000;00000000000;1
115;35017;35;017;19880317;JOSE ANTONIO;0.0047803462;CABRERA;0.0130803287;HERNANDEZ;0.0285822558;00000000;00000000000000000000;00000000000;1
116;35016;35;016;20110222;RUBEN;0.0014640504;CASTAÑARES;0.0000129398;MASCARAQUE;1.8485484E-6;00000000;00000000000000000000;00000000000;1
117;11012;11;012;20101027;JOSE ANTONIO;0.0047803462;MARTIN;0.0150823066;MONCAYO;0.0000277282;00000000;00000000000000000000;00000000000;1
118;35016;35;016;20090412;JOSE ANTONIO;0.0047803462;QUINTANA;0.0059763571;GARCIA;0.0273437283;00000000;00000000000000000000;00000000000;1
119;35016;35;016;20030228;RUBEN;0.0014640504;ROSARIO;0.0022293494;GRAZIANI;0.000020334;00000000;00000000000000000000;00000000000;1
120;35011;35;011;20020926;CARLOS JAVIER;0.0006747202;PEREZ;0.0247483663;DOMINGUEZ;0.0050132633;00000000;00000000000000000000;00000000000;1
121;35016;35;016;20011102;CARLOS JAVIER;0.0006747202;CABRERA;0.0130803287;ARMAS;0.0038135554;00000000;00000000000000000000;00000000000;1
122;35004;35;004;20120408;RUBEN;0.0014640504;MESTRES;0.0000129398;MICIECES;3.6970969E-6;00000000;00000000000000000000;00000000000;1
123;35008;35;008;20110807;JUAN;0.0072925235;SANCHEZ;0.0159917924;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;1
124;35002;35;002;20040925;JOSE ANTONIO;0.0047803462;MENA;0.0004251661;MONROY;0.0003660126;00000000;00000000000000000000;00000000000;1
125;35016;35;016;19590915;JOSE ANTONIO;0.0047803462;GONZALEZ;0.0312792879;RUIZ;0.0036952483;00000000;00000000000000000000;00000000000;1
126;66123;66;123;20010213;JOSE ANTONIO;0.0047803462;PECURTO;3.6970969E-6;SANTOS;0.0013161665;00000000;00000000000000000000;00000000000;1
127;35016;35;016;20031002;RUBEN;0.0014640504;MARRERO;0.0083184679;DENIZ;0.0033310843;00000000;00000000000000000000;00000000000;1
128;35016;35;016;20000509;CANDELARIA;0.0010666124;DIAZ;0.0140951818;NAVARRO;0.0048783193;00000000;00000000000000000000;00000000000;6
129;35016;35;016;19821214;JOSE ANTONIO;0.0047803462;LOPEZ;0.0115349422;NARANJO;0.0021831357;00000000;00000000000000000000;00000000000;1
130;35011;35;011;20080420;MARIA DEL PINO;0.0025399055;MARRERO;0.0083184679;OLIVARES;0.0009760336;00000000;00000000000000000000;00000000000;6
131;35011;35;011;20060717;RUBEN;0.0014640504;ORTEGA;0.004809923;VERA;0.0022422892;00000000;00000000000000000000;00000000000;1
132;35023;35;023;20080810;JOSE ANTONIO;0.0047803462;GARCIA;0.0279389609;PULIDO;0.0014622018;00000000;00000000000000000000;00000000000;1
133;35016;35;016;20050828;RUBEN;0.0014640504;SANTANA;0.0321684397;RUIZ;0.0036952483;00000000;00000000000000000000;00000000000;1
134;35006;35;006;20070217;RUBEN;0.0014640504;ROSALES;0.0013457433;JIMENEZ;0.0080763081;00000000;00000000000000000000;00000000000;1
135;35001;35;001;20041108;RUBEN;0.0014640504;ALAMO;0.0024252955;CASTRO;0.0026452728;00000000;00000000000000000000;00000000000;1
136;35004;35;004;20070114;JUAN;0.0072925235;PRATS;0.000057305;LOPEZ;0.0113334504;00000000;00000000000000000000;00000000000;1
137;35006;35;006;20010722;JUAN ANTONIO;0.0021923784;SOSA;0.0068969342;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
138;35016;35;016;20110814;MARIA DEL PINO;0.0025399055;OLARTE;0.0000388195;HERNANDEZ;0.0285822558;00000000;00000000000000000000;00000000000;6
139;35016;35;016;20051221;JUAN;0.0072925235;JIMENEZ;0.0081391587;PUGA;0.0000683963;00000000;00000000000000000000;00000000000;1
140;38038;38;038;20040415;RUBEN;0.0014640504;SOSA;0.0068969342;GUERRA;0.0055179171;00000000;00000000000000000000;00000000000;1
141;35015;35;015;20030625;JUAN;0.0072925235;PLACERES;0.0003678611;MEDEROS;0.0009224257;00000000;00000000000000000000;00000000000;1
142;35013;35;013;20111116;RUBEN;0.0014640504;GARCIA;0.0279389609;MEDINA;0.0114924256;00000000;00000000000000000000;00000000000;1
143;35016;35;016;20100306;JOSE ANTONIO;0.0047803462;LLOVELL;0.0000646992;SANCHEZ;0.0157884521;00000000;00000000000000000000;00000000000;1
144;35016;35;016;20100202;JUAN;0.0072925235;PRIETO;0.0003253445;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
145;35016;35;016;20070606;JOSE ANTONIO;0.0047803462;RAMIREZ;0.0096679083;CURBELO;0.0020204634;00000000;00000000000000000000;00000000000;1
146;35016;35;016;20111018;RUBEN;0.0014640504;MATOS;0.0004510458;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
147;35002;35;002;20060213;JOSE ANTONIO;0.0047803462;MENDEZ;0.0029096152;RAMIREZ;0.0092353479;00000000;00000000000000000000;00000000000;1
148;35016;35;016;20070412;MARIA DEL PINO;0.0025399055;CASASSAS;1.8485484E-6;GALVEZ;0.0001257013;00000000;00000000000000000000;00000000000;6
149;35016;35;016;19661010;JUAN ANTONIO;0.0021923784;ALFONSO;0.0005471703;CABRERA;0.0127716211;00000000;00000000000000000000;35009111872;1
150;35008;35;008;20110620;RUBEN;0.0014640504;DOMINGUEZ;0.0052221493;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;1
151;35011;35;011;20040804;CARLOS JAVIER;0.0006747202;DIAZ;0.0140951818;GONZALEZ;0.0321185289;00000000;00000000000000000000;00000000000;1
152;35016;35;016;20101208;MARIA DEL PINO;0.0025399055;SUAREZ;0.0173005647;TOLEDO;0.001203405;00000000;00000000000000000000;00000000000;6
153;35017;35;017;19910830;JOSE ANTONIO;0.0047803462;PEÑA;0.0029502833;MELO;0.0001793092;00000000;00000000000000000000;00000000000;1
154;35006;35;006;20090203;RUBEN;0.0014640504;GUERRA;0.0053922158;REDONDO;0.0001756121;00000000;00000000000000000000;00000000000;1
155;35009;35;009;20000405;JOSE ANTONIO;0.0047803462;MORENO;0.0058950209;ALEMAN;0.0046232196;00000000;00000000000000000000;00000000000;1
156;35006;35;006;20101107;JUAN;0.0072925235;MORENO;0.0058950209;RODRIGUEZ;0.0388453967;00000000;00000000000000000000;00000000000;1
157;35016;35;016;20020418;RUBEN;0.0014640504;SANTANA;0.0321684397;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;1
158;35011;35;011;20041006;JUAN ANTONIO;0.0021923784;SUAREZ;0.0173005647;MELIAN;0.0038449807;00000000;00000000000000000000;00000000000;1
159;35013;35;013;19791015;JOSE ANTONIO;0.0047803462;PEREZ;0.0247483663;MORENO;0.0060817243;00000000;00000000000000000000;00000000000;1
160;35022;35;022;19990219;RUBEN;0.0014640504;ORTEGA;0.004809923;MORENO;0.0060817243;00000000;00000000000000000000;00000000000;1
161;35016;35;016;20100808;JUAN;0.0072925235;BOSCH;0.0001589752;GARCIA;0.0273437283;00000000;00000000000000000000;00000000000;1
162;35004;35;004;19970613;JOSE ANTONIO;0.0047803462;LUNA;0.00022922;SUAREZ;0.0181028347;00000000;00000000000000000000;00000000000;1
163;35012;35;012;20100619;JOSE ANTONIO;0.0047803462;POZON;0.0000147884;FERNANDEZ;0.0056214358;00000000;00000000000000000000;00000000000;1
164;35011;35;011;19860423;JOSE ANTONIO;0.0047803462;MONROY;0.0002976163;GIL;0.0038209496;00000000;00000000000000000000;00000000000;1
165;35002;35;002;20031006;JUAN ANTONIO;0.0021923784;GERRERO;1.8485484E-6;ORIHUELA;0.0002754337;00000000;00000000000000000000;00000000000;1
166;35016;35;016;20100731;JUAN;0.0072925235;MALDONADO;0.0002199773;SANTIAGO;0.001850397;00000000;00000000000000000000;00000000000;1
167;35016;35;016;20110811;JUAN ANTONIO;0.0021923784;GONZALEZ;0.0312792879;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;1
168;35011;35;011;20020402;MARIA DEL PINO;0.0025399055;SANCHEZ;0.0159917924;LOPEZ;0.0113334504;00000000;00000000000000000000;00000000000;6
169;36056;36;056;19961217;RUBEN;0.0014640504;CUSTODIA;3.6970969E-6;PIEDRAS;0.0000129398;00000000;00000000000000000000;00000000000;1
170;35016;35;016;20100911;JUAN;0.0072925235;CABRERA;0.0130803287;MONZON;0.0021886813;00000000;00000000000000000000;00000000000;1
171;35016;35;016;20080429;JUAN;0.0072925235;GONZALEZ;0.0312792879;QUINTANA;0.0062961559;00000000;00000000000000000000;00000000000;1
172;35017;35;017;19970518;RUBEN;0.0014640504;PEREZ;0.0247483663;MONTAÑES;0.0000184855;00000000;00000000000000000000;00000000000;1
173;35004;35;004;19980827;JUAN;0.0072925235;FERNANDEZ;0.0062702763;CADIZ;0.0000240311;00000000;00000000000000000000;00000000000;1
174;35016;35;016;20090427;JUAN;0.0072925235;MARTIN;0.0150823066;OJEDA;0.0042054477;00000000;00000000000000000000;00000000000;1
175;35004;35;004;20100204;JOSE ANTONIO;0.0047803462;HERNANDEZ;0.0277319235;GOMEZ;0.0033015075;00000000;00000000000000000000;00000000000;1
176;35016;35;016;20101007;RUBEN;0.0014640504;LUZARDO;0.0007708447;HERNANDEZ;0.0285822558;00000000;00000000000000000000;00000000000;1
177;35017;35;017;20100223;JOSE ANTONIO;0.0047803462;ALONSO;0.0047248898;ORTEGA;0.0047045557;00000000;00000000000000000000;00000000000;1
178;35002;35;002;20100404;JOSE ANTONIO;0.0047803462;GONZALEZ;0.0312792879;SUAREZ;0.0181028347;00000000;00000000000000000000;00000000000;1
179;35030;35;030;20041029;JOSE ANTONIO;0.0047803462;FERREIRA;0.0003216474;SUAREZ;0.0181028347;00000000;00000000000000000000;00000000000;1
180;35029;35;029;20031031;JOSE ANTONIO;0.0047803462;CABRERA;0.0130803287;MONTALBAN;0.000020334;00000000;00000000000000000000;00000000000;1
181;35010;35;010;20050828;RUBEN;0.0014640504;EBERWEIN;5.5456453E-6;GUHRING;3.6970969E-6;00000000;00000000000000000000;00000000000;1
182;48020;48;020;19871116;JUAN;0.0072925235;AGUIRREZABALA;1.8485484E-6;NUEZ;0.0015527807;00000000;00000000000000000000;00000000000;1
183;35010;35;010;20101218;JUAN ANTONIO;0.0021923784;HERNANDEZ;0.0277319235;CEDRES;0.0011405544;00000000;00000000000000000000;00000000000;1
184;35004;35;004;20100817;JUAN;0.0072925235;MALDONADO;0.0002199773;SANTIAGO;0.001850397;00000000;00000000000000000000;00000000000;1
185;35002;35;002;20050822;JUAN ANTONIO;0.0021923784;GONZALEZ;0.0312792879;ARTILES;0.003647186;00000000;00000000000000000000;00000000000;1
